Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
IK4088,42.0,9.0,2,0,3098.0,0.0,98.0,0.0
OM3476,44.0,4.0,4,1,1461.0,0.0,115.0,0.2222222222222222
LA4231,41.0,2.0,1,0,731.0,0.0,98.0,0.0
NI4526,42.0,13.0,4,1,4748.0,0.0,-97.0,0.2222222222222222
HV0517,42.0,11.0,1,1,4020.0,0.0,-366.0,0.2222222222222222
QY3779,44.5,10.0,3,1,3653.0,0.0,-34.0,0.2222222222222222
NI8589,44.0,13.0,4,1,4748.0,0.0,452.0,0.2222222222222222
EE7053,45.5,3.0,2,0,1096.0,0.0,98.0,0.0
NY8751,34.0,9.0,1,0,3287.0,0.0,98.0,0.0
IL3170,46.0,18.0,2,1,6575.0,0.0,-4.0,0.2222222222222222
XC5019,43.0,8.0,2,0,2993.0,0.7719731733145075,98.0,0.0
DK8288,43.5,9.0,3,1,3287.0,0.0,115.0,0.2222222222222222
FD3634,45.0,4.0,8,1,1461.0,0.20570359981299674,87.0,0.2222222222222222
FW0890,43.0,3.0,4,1,1096.0,0.0,-488.0,0.2222222222222222
UA9005,44.0,16.0,7,1,5844.0,0.022926219258024176,116.0,0.2222222222222222
WR3966,32.5,2.0,2,0,731.0,0.20707199185957764,98.0,0.0
RB3893,43.0,15.0,1,0,5479.0,0.48523206751054854,98.0,0.0
ZN3882,46.5,10.0,5,0,3653.0,0.0,98.0,0.0
FV4390,41.5,5.0,3,0,1826.0,0.0,98.0,0.0
GN2345,44.0,3.0,2,1,1096.0,0.0,330.0,0.2222222222222222
LZ8894,44.5,3.0,2,0,1096.0,0.0,98.0,0.0
EZ0174,43.0,5.0,3,0,1826.0,0.0,98.0,0.0
UN6020,44.5,14.0,3,0,5114.0,0.0,98.0,0.0
HU7410,42.0,9.0,2,1,3287.0,0.0,-4.0,0.2222222222222222
II1861,44.5,15.0,7,1,5479.0,0.11055831951354339,452.0,0.2222222222222222
OH6087,46.5,14.0,3,1,5114.0,0.0,-4.0,0.2222222222222222
