Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AD6202,0.0,1.0,2,0,1,1,0,2,0,0
AD6431,25.0,2.0,0,0,1,1,0,2,0,0
AD7117,50.0,0.5,0,0,1,1,0,1,0,0
AD7151,50.0,1.0,0,0,1,1,0,2,0,0
AD7382,60.0,0.6666666666666666,0,0,1,1,0,1,0,0
AD7629,37.5,2.0,0,0,1,1,0,2,0,0
AD7704,0.0,0.6666666666666666,0,1,0,1,0,1,0,0
AD7727,30.0,2.25,0,2,1,1,0,1,0,0
AD7903,32.5,1.25,0,0,1,1,0,2,0,0
AD8539,0.0,1.3333333333333333,0,1,0,1,0,1,0,0
AD8718,60.0,1.3333333333333333,1,0,1,2,0,0,0,0
AD8935,0.0,1.5,0,0,1,1,0,0,0,0
AD8939,16.666666666666668,1.0,0,1,0,1,0,0,0,0
AD9098,43.333333333333336,1.6666666666666667,0,0,1,2,0,0,0,0
AD9123,50.0,0.6666666666666666,1,0,1,1,0,1,0,0
AD9391,50.0,1.5,2,0,1,1,0,2,0,0
AD9541,25.0,0.5,0,2,1,1,0,1,0,0
AD9995,0.0,2.3333333333333335,0,0,1,1,0,1,0,0
AE0019,37.5,0.25,0,0,1,1,0,1,0,0
AE0118,40.0,1.6666666666666667,0,0,1,1,0,0,0,0
AE0167,16.666666666666668,2.3333333333333335,1,0,1,1,0,2,0,0
AE0283,0.0,1.0,0,1,0,1,0,0,0,0
AE0497,80.0,0.0,0,0,1,1,0,1,0,0
AE0975,66.66666666666667,1.0,0,2,1,1,0,0,0,0
AE1350,33.333333333333336,2.0,0,0,1,0,0,2,0,0
AE1387,37.5,2.75,0,2,1,1,0,1,0,0
AE1618,90.0,0.0,0,0,1,1,0,0,0,0
AE1692,25.0,0.0,1,0,1,1,0,0,0,0
AE2296,43.333333333333336,0.6666666666666666,0,0,1,1,0,1,0,0
AE2648,33.333333333333336,0.6666666666666666,1,0,1,1,0,1,0,0
AE2724,66.66666666666667,2.3333333333333335,0,0,1,1,0,1,0,0
AE2866,10.0,1.2,0,1,0,1,0,1,0,0
AE2871,43.333333333333336,1.3333333333333333,0,0,1,0,0,1,0,1
AE2874,25.0,1.25,0,0,0,1,0,1,0,0
AE3575,0.0,0.5,0,0,1,1,0,1,0,0
AE3806,50.0,2.0,1,0,1,1,0,0,0,0
AE4304,37.5,1.25,0,0,1,1,0,2,0,0
AE4321,30.0,1.0,0,0,1,1,0,1,0,0
AE4702,26.0,2.0,0,0,1,1,0,1,0,0
AE4711,40.0,2.0,0,2,1,0,0,1,0,0
AE4779,33.333333333333336,2.0,0,0,1,1,0,2,0,0
AE4799,50.0,1.3333333333333333,0,0,1,1,0,0,0,0
AE5370,16.666666666666668,0.5,1,0,1,1,0,1,0,0
AE5387,20.0,1.0,1,0,1,1,0,1,0,0
AE5744,25.0,0.5,0,0,1,1,0,0,0,0
AE5755,20.0,2.0,2,0,1,1,0,2,0,1
AE5853,47.5,2.0,0,0,1,1,0,1,0,0
AE5993,25.0,0.75,0,0,1,1,0,1,0,0
AE6233,33.333333333333336,1.0,0,0,1,1,0,0,0,0
AE6472,30.0,2.0,0,0,1,1,0,2,0,0
AE6720,25.0,1.5,0,0,1,1,0,0,0,0
AE6844,31.666666666666668,0.0,0,1,0,1,0,1,0,0
AE7044,37.5,2.25,0,2,1,1,0,1,0,0
AE7407,33.333333333333336,2.0,0,2,1,1,0,2,0,0
AE7571,50.0,1.5,0,0,1,2,0,1,0,0
AE7667,16.666666666666668,0.3333333333333333,0,0,1,1,0,1,0,0
AE7708,33.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AE7735,50.0,2.25,0,2,1,2,0,2,0,0
AE7800,6.666666666666667,1.3333333333333333,1,0,1,1,0,1,0,0
AE7906,23.333333333333332,0.8333333333333334,1,0,0,1,0,0,0,0
AE8061,47.5,1.25,0,0,1,1,0,1,0,0
AE8207,76.66666666666667,0.6666666666666666,0,0,1,1,0,1,0,0
AE8371,50.0,1.0,1,0,1,1,0,0,0,0
AE8826,0.0,3.0,3,2,1,1,0,1,0,0
AE8961,33.333333333333336,2.0,0,0,1,0,0,1,0,0
AE9025,23.333333333333332,1.6666666666666667,0,0,1,0,0,0,0,0
AE9247,33.333333333333336,0.6666666666666666,0,0,1,1,0,1,0,0
AE9264,0.0,1.75,0,1,0,1,0,1,0,0
AE9291,25.0,1.75,0,0,1,1,0,1,0,0
AE9335,33.333333333333336,3.6666666666666665,0,2,1,1,0,1,0,0
AE9377,50.0,0.3333333333333333,0,0,1,1,0,0,0,0
AE9686,50.0,1.0,3,0,1,1,0,1,0,0
AF0225,25.0,0.5,0,0,1,1,0,1,0,0
AF0289,0.0,1.3333333333333333,0,1,0,1,0,1,0,0
